type,uuid,fullName,pureName,author,fullTitleCache,RANK,taxon,treeIndex
Taxon,b6ec8d50-7f37-4a17-af01-b1fae138c749,Cactaceae Juss.,Cactaceae,Juss.,"Cactaceae Juss., Gen. Pl.: 310. 1789",Family,Cactaceae Juss. sec. APG IV [Angiosperm Phylogeny Group] 2016,#t42#33819#33820#33837#
Taxon,4a66a86c-18c3-4bc9-9367-3c981882e835,Cactaceae_1_core_checklist,Cactaceae_1_core_checklist,,Cactaceae_1_core_checklist,Family,Cactaceae_1_core_checklist sec. Korotkova & al. 2021,#t42#33819#33820#33837#33839#
Taxon,eff0f565-97fd-4710-814f-ca09597c687b,__Cactaceae_2_hybrids,__Cactaceae_2_hybrids,,__Cactaceae_2_hybrids,Family,__Cactaceae_2_hybrids sec. Korotkova & al. 2021,#t42#33819#33820#33837#23243#
Taxon,e8f43289-cc57-41f2-ba0c-29170feefb0b,__Cactaceae_3_names_of_uncertain_application,__Cactaceae_3_names_of_uncertain_application,,__Cactaceae_3_names_of_uncertain_application,Family,__Cactaceae_3_names_of_uncertain_application sec. Korotkova & al. 2021,#t42#33819#33820#33837#11499#
Taxon,9dd6cd23-750b-4848-8423-2e013fc7a15a,__Cactaceae_4_unplaced_taxa,__Cactaceae_4_unplaced_taxa,,__Cactaceae_4_unplaced_taxa,Family,__Cactaceae_4_unplaced_taxa sec. Korotkova & al. 2021,#t42#33819#33820#33837#28697#
Taxon,c423fc0c-4c48-409d-8824-165c6c6a97ed,__Cactaceae_5_unresolved_names,__Cactaceae_5_unresolved_names,,__Cactaceae_5_unresolved_names,Family,__Cactaceae_5_unresolved_names sec. Korotkova & al. 2021,#t42#33819#33820#33837#11495#
Taxon,f41b8d8b-802d-4175-af2b-d33bf4b4cf3c,__Cactaceae_6_excluded_names,__Cactaceae_6_excluded_names,,__Cactaceae_6_excluded_names,Family,__Cactaceae_6_excluded_names sec. Korotkova & al. 2021,#t42#33819#33820#33837#28799#
Taxon,43879ab1-f3ef-43e6-ac12-df1f0ceab321,Acanthocalycium Backeb.,Acanthocalycium,Backeb.,"Acanthocalycium Backeb., Kaktus-ABC: 224, 412. 1936 [""1935""]",Genus,Acanthocalycium Backeb. sec. Schlumpberger 2021,#t42#33819#33820#33837#33839#11100#
Taxon,2d6a21aa-1897-4289-b465-2a8952498ab1,Acanthocereus (Engelm. ex A.Berger) Britton & Rose,Acanthocereus,(Engelm. ex A.Berger) Britton & Rose,Acanthocereus (Engelm. ex A.Berger) Britton & Rose in Contr. U.S. Natl. Herb. 12: 432. 1909,Genus,Acanthocereus (Engelm. ex A.Berger) Britton & Rose sec. Korotkova & al. 2017,#t42#33819#33820#33837#33839#1173#
Taxon,76f01f24-0341-4f96-b80f-6c1422befc02,Acharagma (N.P.Taylor) Glass,Acharagma,(N.P.Taylor) Glass,"Acharagma (N.P.Taylor) Glass, Guía Identific. Cact. Amenazadas México: Ac/Ag. 1997 [""1998""]",Genus,Acharagma (N.P.Taylor) Glass sec. Vázquez-Sánchez & al. 2013,#t42#33819#33820#33837#33839#1580#
Taxon,b08f4fce-9f36-4216-ac81-2b62fbb72e8c,Airampoa Frič,Airampoa,Frič,"Airampoa Frič, Akklim. Versuchs-Gart.: 1. 1933",Genus,Airampoa Frič sec. Doweld 2002,#t42#33819#33820#33837#33839#1720#
Taxon,c1562662-787b-45ab-93f5-def2911fe7be,Aporocactus Lem.,Aporocactus,Lem.,"Aporocactus Lem., Ill. Hort. Misc. 7: 67. 1860",Genus,Aporocactus Lem. sec. Korotkova & al. 2017,#t42#33819#33820#33837#33839#2679#
Taxon,3327590d-90e2-41c8-99a5-be2b32ffd098,Ariocarpus Scheidw.,Ariocarpus,Scheidw.,Ariocarpus Scheidw. in Bull. Acad. Roy. Sci. Bruxelles 5: 491. 1838,Genus,Ariocarpus Scheidw. sec. Vázquez-Sánchez & al. 2013,#t42#33819#33820#33837#33839#885#
Taxon,d545c558-df9c-4174-8353-cd169c7b4ce2,Armatocereus Backeb.,Armatocereus,Backeb.,Armatocereus Backeb. in Blätt. Kakteenf. 1938(6): 21. 1938,Genus,Armatocereus Backeb. sec. Hunt 2006,#t42#33819#33820#33837#33839#833#
Taxon,6f8bc80b-29d1-4d93-abe9-615649826a1f,Arrojadoa Britton & Rose,Arrojadoa,Britton & Rose,"Arrojadoa Britton & Rose, Cactaceae 2: 170. 1920",Genus,Arrojadoa Britton & Rose sec. Romeiro-Brito & al. 2023,#t42#33819#33820#33837#33839#742#
Taxon,dbf805e1-79e7-49ab-af44-568893873f12,Arthrocereus A.Berger,Arthrocereus,A.Berger,"Arthrocereus A.Berger, Kakteen: 146, 337. 1929, nom. cons.",Genus,"Arthrocereus A.Berger, nom. cons., sec. Zappi & Taylor 2020+",#t42#33819#33820#33837#33839#732#
Taxon,697b8ced-7ad8-4065-97fa-32ecf94baa35,Astrophytum Lem.,Astrophytum,Lem.,"Astrophytum Lem., Cact. Gen. Sp. Nov.: 3-6. 1839",Genus,Astrophytum Lem. sec. Vázquez-Lobo & al. 2015,#t42#33819#33820#33837#33839#134#
Taxon,a873655d-5140-46cd-b7a9-6d4e55732f83,Austrocactus Britton & Rose,Austrocactus,Britton & Rose,"Austrocactus Britton & Rose, Cactaceae 3: 44. 1922",Genus,Austrocactus Britton & Rose sec. Böhnert & al. 2025,#t42#33819#33820#33837#33839#211#
Taxon,bb0ea52e-5bf1-4a5a-aa18-884be25aec69,Austrocylindropuntia Backeb.,Austrocylindropuntia,Backeb.,Austrocylindropuntia Backeb. in Blätt. Kakteenf. 1938(6): 21. 1938,Genus,Austrocylindropuntia Backeb. sec. Ritz & al. 2012,#t42#33819#33820#33837#33839#1600#
Taxon,e22d304a-09e9-4c6c-969f-f48e6fe48ab8,Aylostera Speg.,Aylostera,Speg.,Aylostera Speg. in Anales Soc. Ci. Argent. 96: 75. 1923,Genus,Aylostera Speg. sec. Ritz & al. 2016,#t42#33819#33820#33837#33839#2390#
