marker	start	end
atpB_rbcL	1	796
ITS	797	1750
matK	1751	4203
ndhF_rpl32	4204	5474
pepC	5475	6049
psbA_trnH	6050	6460
rbcL	6461	7949
rpL16	7950	9266
rpl32_trnL	9267	10403
trnL_trnF	10404	11624
trnS_trnG	11625	12700
