cluster_id,sid,reason
2,HO058709.1,manual conflict resolution
3,HO058696.1,manual conflict resolution
6,OK206451.1,manual conflict resolution
6,OK206462.1,manual conflict resolution
6,OK206463.1,manual conflict resolution
6,OK206464.1,manual conflict resolution
3,AF267935.1,manual conflict resolution
4,AF267935.1,manual conflict resolution
24,AF267935.1,manual conflict resolution
3,AF267974.1,manual conflict resolution
4,AF267974.1,manual conflict resolution
9,AY545345.1,manual conflict resolution
13,AY545345.1,manual conflict resolution
24,AF267974.1,manual conflict resolution
0,MK284146.1,manual conflict resolution
1,MK284146.1,manual conflict resolution
3,MK449178.1,manual conflict resolution
4,MK449178.1,manual conflict resolution
6,MK449024.1,manual conflict resolution
7,KC777010.1,manual conflict resolution
10,MK284146.1,manual conflict resolution
11,KC777010.1,manual conflict resolution
19,MK449024.1,manual conflict resolution
24,MK449178.1,manual conflict resolution
45,KC777010.1,manual conflict resolution
83,MK449024.1,manual conflict resolution
2,PV916037.1,manual conflict resolution
5,PV916037.1,manual conflict resolution
